Column1;Column2;Column3
LU0329355670;Robeco QI Emerging Markets Active Equities D €;funds_v3
LU0329430986;GAM Multistock - Luxury Brands Equity EUR E;funds_v3
LU0329678410;Fidelity Funds - Emerging Asia Fund A-Acc-EUR;funds_v3
LU0331286574;BlackRock Global Funds - Sustainable Energy Fund C2 (EUR);funds_v3
LU0333810850;Goldman Sachs India Equity Portfolio E Acc EUR;funds_v3
LU0336084032;Carmignac Pf Flexible Bond A EUR Acc;funds_v3
LU0340559557;Pictet-Timber P EUR;funds_v3
LU0345361124;Fidelity Funds - Asia Pacific Opportunities Fund A-Acc-EUR;funds_v3
LU0348529792;Fidelity Active Strategy - FAST - Europe Fund E-ACC-EUR;funds_v3
LU0348784041;Allianz Global Investors Fund - Allianz Oriental Income AT EUR;funds_v3
LU0348926287;Nordea 1 - Global Climate and Environment Fund BP EUR;funds_v3
LU0348927251;Nordea 1 - Global Climate and Environment Fund E EUR;funds_v3
LU0352312184;Allianz Strategy 50 CT EUR;funds_v3
LU0352312853;Allianz Strategy 75 CT EUR;funds_v3
LU0353647737;Fidelity Funds - European Dividend Fund A-Acc-EUR;funds_v3
LU0353649352;Fidelity Funds - Global Inflation-linked Bond Fund E-Acc-EUR (hedged);funds_v3
LU0360646680;BNP Paribas Funds Euro Defensive Equity Classic Capitalisation;funds_v3
LU0365089902;Jupiter India Select Class L USD A Inc;funds_v3
LU0365775922;Schroder International Selection Fund Greater China A Accumulation EUR;funds_v3
LU0368678339;Fidelity Funds - Pacific Fund A-Acc-EUR;funds_v3
LU0384381660;Morgan Stanley Investment Funds - QuantActive Global Infrastructure Fund A;funds_v3
LU0387754996;Robeco Global Stars Equities D EUR;funds_v3
LU0391944815;Pictet-Global Megatrend Selection R EUR;funds_v3
LU0398684661;Goldman Sachs Alternative Beta - P Cap EUR (hedged i);funds_v3
LU0399356780;DWS Invest Latin American Equities LC;funds_v3
LU0404220724;JPMorgan Investment Funds - Global Income Fund D (div) - EUR;funds_v3
LU0413376566;BlackRock Global Funds - Emerging Markets Bond Fund A2 Hedged;funds_v3
LU0413543058;Fidelity Funds - Japan Value Fund A-Acc-EUR;funds_v3
LU0415391431;Bellevue Funds (Lux) - Bellevue Medtech & Services B EUR;funds_v3
LU0425308169;BlackRock Global Funds - Global Inflation Linked Bond Fund A2 EUR Hedged;funds_v3
LU0430492750;JPMorgan Funds - Euro Aggregate Bond Fund C (acc) - EUR;funds_v3
LU0438336694;BlackRock ESG Fixed Income Strategies Fund E2 EUR;funds_v3
LU0447425785;SIH FCP - Short Term EUR A Classic;funds_v3
LU0455556406;UBS (Lux) Bond SICAV - Global Inflation-linked (USD) (EUR hedged) P-acc;funds_v3
LU0469270010;AB - Asia Ex-Japan Equity Portfolio C EUR Acc;funds_v3
LU0491217419;Robeco Indian Equities D €;funds_v3
LU0496368142;Franklin Gold & Precious Metals Fund A(acc)EUR-H1;funds_v3
LU0496369389;Franklin Gold & Precious Metals Fund N(acc)EUR;funds_v3
LU0501220429;Global Evolution Funds Frontier Markets R EUR;funds_v3
LU0503631714;Pictet - Global Environmental Opportunities P EUR;funds_v3
LU0512121004;DNCA Invest Eurose Class B shares EUR;funds_v3
LU0522352516;JPMorgan Funds - India Fund D (acc) - EUR;funds_v3
LU0524465548;Alken Fund - Small Cap Europe Class A;funds_v3
LU0524465977;Alken Fund - European Opportunities Class A;funds_v3
LU0546917344;Goldman Sachs Euro Long Duration Bond - P Cap EUR;funds_v3
LU0552029406;Amundi Funds - Latin America Equity A EUR (C);funds_v3
LU0552029661;Amundi Funds - Latin America Equity G EUR (C);funds_v3
LU0552385295;Morgan Stanley Investment Funds - Global Opportunity Fund A;funds_v3
LU0554840230;Robeco Global Consumer Trends Equities M €;funds_v3
LU0563745743;Bestinver Tordesillas SICAV Iberia A;funds_v3
LU0564184074;Ethna-AKTIV R-T;funds_v3
LU0565135745;First Eagle Amundi International Fund Class AE-C Shares;funds_v3
LU0565136552;First Eagle Amundi International Fund Class FE-C Shares;funds_v3
LU0568583420;Amundi Funds - Equity Japan Target A EUR (C);funds_v3
LU0568620560;Amundi Funds - Cash EUR A2 EUR (C);funds_v3
LU0568620727;Amundi Funds - Cash EUR G2 EUR (C);funds_v3
LU0569862609;UBAM - Global High Yield Solution AHC EUR;funds_v3
LU0570870567;CT (Lux) - Global Smaller Companies AE (EUR Accumulation Shares);funds_v3
LU0571100824;Groupama Europe Convertible NC;funds_v3
LU0571101558;Groupama Euro High Yield NC;funds_v3
LU0583242994;MFS Meridian Funds - Prudent Wealth Fund A1 EUR;funds_v3
LU0592699093;Carmignac Portfolio Emerging Patrimoine E EUR Acc;funds_v3
LU0594300096;Fidelity Funds - China Consumer Fund A-Acc-EUR;funds_v3
LU0594539719;Candriam Bonds Emerging Markets Class C EUR Hedged Cap;funds_v3
LU0599946893;DWS Concept Kaldemorgen EUR LC;funds_v3
LU0599947198;DWS Concept Kaldemorgen EUR NC;funds_v3
LU0602539867;Nordea 1 - Emerging Sustainable Stars Equity Fund BP EUR;funds_v3
LU0604766674;Allianz Global Investors Fund - Allianz Global Metals and Mining AT EUR;funds_v3
LU0607225447;CT (Lux) Global Convertible Bond Fund A Acc EUR Hdg;funds_v3
LU0607512935;Invesco Funds - Invesco Developed Small and Mid-Cap Equity Fund E Accumulation;funds_v3
LU0607513586;Invesco Funds - Invesco Global Equity Income Fund E Accumulation EUR;funds_v3
LU0607983896;Nordea 1 - Alpha 15 MA Fund BP EUR;funds_v3
LU0616839501;DWS Invest Euro High Yield Corporates LC;funds_v3
LU0616856935;DWS Invest Brazilian Equities LC;funds_v3
LU0616857313;DWS Invest Brazilian Equities NC;funds_v3
LU0628612748;BlackRock Global Funds - European Equity Income Fund E2;funds_v3
LU0630951415;Fidelity Funds - Emerging Asia Fund E-Acc-EUR;funds_v3
LU0631859229;Bellevue Funds (Lux) - Bellevue Entrepreneur Europe Small B EUR;funds_v3
LU0637302547;Nordea 1 - Emerging Market Corporate Bond Fund BP EUR;funds_v3
LU0637335638;Nordea 1 - Indian Equity Fund BP EUR;funds_v3
LU0658026512;AXA IM Fixed Income Investment Strategies - Europe Short Duration High Yield E Capitalisation EUR;funds_v3
LU0661986348;JPMorgan Funds - Euroland Dynamic Fund D (perf) (acc) - EUR;funds_v3
LU0690375182;Fundsmith Equity Fund T EUR Acc;funds_v3
LU0702159772;Fidelity Funds - Asian Smaller Companies Fund A-Acc-EUR;funds_v3
LU0704154706;RAM (Lux) Systematic Funds - Emerging Markets Equities O EUR;funds_v3
LU0706127809;UBS (Lux) Bond SICAV - Global Short Term Flexible (USD) (EUR hedged) P-acc;funds_v3
LU0712123511;Morgan Stanley Investment Funds - Global Fixed Income Opportunities Fund AH (EUR);funds_v3
LU0733673288;Nordea 1 - European Cross Credit Fund BP EUR;funds_v3
LU0766123821;Fidelity Funds - China Focus Fund E-Acc-EUR;funds_v3
LU0769137737;BlackRock Global Funds - Continental European Flexible Fund Class A2 (USD);funds_v3
LU0772958525;Nordea 1 - North American Sustainable Stars Equity Fund BP USD;funds_v3
LU0778324086;Fidelity Funds - Asian Special Situations Fund E-Acc-EUR;funds_v3
LU0795636256;Schroder International Selection Fund Emerging Markets Hard Currency A Accumulation EUR Hedged;funds_v3
LU0813337002;DWS Invest Latin American Equities NC;funds_v3
LU0815263628;Morgan Stanley Investment Funds - Emerging Leaders Equity Fund A;funds_v3
LU0823394852;BNP Paribas Funds Global Convertible Classic RH EUR Capitalisation;funds_v3
LU0823411706;BNP Paribas Funds Consumer InnovatorsClassic Capitalisation;funds_v3
LU0823421689;BNP Paribas Funds Disruptive Technology Classic Capitalisation;funds_v3
LU0826452848;DWS Invest II Global Equity High Conviction Fund LC;funds_v3
LU0826453226;DWS Invest II Global Equity High Conviction Fund NC;funds_v3
LU0835722488;RAM (Lux) Systematic Funds - Emerging Markets Equities OP EUR;funds_v3
LU0842066523;SIH FCP - Balanced A Classic;funds_v3
LU0849399786;Schroder International Selection Fund EURO High Yield A Accumulation;funds_v3
LU0857700040;Fidelity Funds - European Dividend Fund A-MINCOME(G)-EUR;funds_v3
LU0861897477;Abante Global Funds Spanish Opportunities Class B;funds_v3
LU0862450516;JPMorgan Funds - Emerging Markets Dividend Fund D (acc) - EUR;funds_v3
LU0910636546;Goldman Sachs Emerging Markets Debt Blend Portfolio Other Currency Acc EUR;funds_v3
LU0910636892;Goldman Sachs Emerging Markets Debt Blend Portfolio E Acc EUR;funds_v3
LU0918140210;T. Rowe Price Funds SICAV - US Smaller Companies Equity Fund A (EUR);funds_v3
LU0920839429;Allianz Global Investors Fund - Allianz Europe Equity Growth Select CT EUR;funds_v3
LU0922333322;Fidelity Funds - Italy Fund A-Acc-EUR;funds_v3
LU0926439992;Vontobel Fund - Emerging Markets Debt H (hedged) EUR Cap;funds_v3
LU0933684101;Incometric Equam Global Value A;funds_v3
LU0935222900;Natixis AM Funds - Ostrum Euro Inflation R/A (EUR);funds_v3
LU0935230242;Natixis AM Funds - Ostrum Europe MinVol RE/A (EUR);funds_v3
LU0940719098;UBAM - Global High Yield Solution RHC EUR;funds_v3
LU0986194024;SIH FCP - Equity Europe A Classic;funds_v3
LU0995119665;Schroder International Selection Fund EURO Credit Conviction A Accumulation EUR;funds_v3
LU0995119749;Schroder International Selection Fund EURO Credit Conviction B Accumulation EUR;funds_v3
LU0995386439;EDM Inversion/Spanish Equity R EUR;funds_v3
LU1021288268;AB - Mortgage Income Portfolio A2 EUR Acc;funds_v3
LU1022658667;Franklin Euro Short Duration Bond Fund A(acc)EUR;funds_v3
LU1061675168;Goldman Sachs Frontier Markets Debt (Hard Currency) - X Cap EUR (hedged i);funds_v3
LU1066281574;SIH FCP - Equity Spain A Classic;funds_v3
LU1079477284;Allianz Emerging Markets Short Duration Bond AT (H2-EUR);funds_v3
LU1080015693;Edmond de Rothschild Fund - Emerging Credit A EUR Hedged;funds_v3
LU1088692675;UBAM - Global Equity AC EUR;funds_v3
LU1089088741;Allianz Global Investors Fund - Allianz Floating Rate Notes Plus VarioZins AT EUR;funds_v3
LU1095739733;First Eagle Amundi Income Builder Fund Class AE-QD Shares;funds_v3
LU1103303167;Edmond de Rothschild Fund - US Value A EUR;funds_v3
LU1103307408;Goldman Sachs Absolute Return Tracker Portfolio Other Currency Acc EUR-Hedged;funds_v3
LU1111642820;Eleva European Selection A2 EUR acc;funds_v3
LU1120766388;Candriam Equities L Biotechnology Class C EUR Cap;funds_v3
LU1161086159;Amundi Funds - Emerging Markets Blended Bond A EUR (C);funds_v3
LU1161526576;Edmond de Rothschild Fund - Bond Allocation R EUR Acc;funds_v3
LU1162516717;BlackRock Systematic Global Equity Absolute Return Fund A2 EUR Hedged;funds_v3
LU1164219682;AXA World Funds - Euro Credit Total Return A Capitalisation EUR;funds_v3
LU1164220854;AXA World Funds - Euro Credit Total Return E Capitalisation EUR;funds_v3
LU1165644672;IVO Funds - IVO Emerging Markets Corporate Debt EUR R Acc;funds_v3
LU1191877379;BlackRock Global Funds - European High Yield Bond Fund A2;funds_v3
LU1206943596;Fidelity Active Strategy - FAST - Emerging Markets Fund A-ACC-EUR;funds_v3
LU1213836080;Fidelity Funds - Global Technology Fund A-Acc-EUR;funds_v3
LU1223083087;Schroder International Selection Fund Global Gold A Accumulation EUR Hedged;funds_v3
LU1223084051;Schroder International Selection Fund Global Gold A Accumulation PLN Hedged;funds_v3
LU1244893696;Edmond de Rothschild Fund - Big Data A-EUR accumulating;funds_v3
LU1244895394;Edmond de Rothschild Fund - Big Data R EUR;funds_v3
LU1245469744;Flossbach von Storch - Multiple Opportunities II ET;funds_v3
LU1245470593;Flossbach von Storch - Multi Asset Defensive ET;funds_v3
LU1254412460;abrdn SICAV I - Indian Bond Fund A Acc EUR;funds_v3
LU1276000236;Edmond de Rothschild Fund - Income Europe R EUR;funds_v3
LU1278917452;DWS Invest CROCI Sectors Plus LC;funds_v3
LU1278917536;DWS Invest CROCI Sectors Plus NC;funds_v3
LU1279334483;Pictet - Robotics R EUR;funds_v3
LU1295551144;Capital Group New Perspective Fund (LUX) B (EUR);funds_v3
LU1298174530;CT (Lux) - Global Multi Asset Income Class AE (EUR Accumulation Shares);funds_v3
LU1299306321;Carmignac Portfolio Sécurité AW EUR Acc;funds_v3
LU1299311164;Carmignac Portfolio Investissement A EUR Acc;funds_v3
LU1299311834;Carmignac Portfolio Investissement E EUR Acc;funds_v3
LU1301026388;Sycomore Fund SICAV - Sycomore Europe Happy@Work RC EUR;funds_v3
LU1304666057;Allianz Global Investors Fund - Allianz Dynamic Multi Asset Strategy SRI 75 CT EUR;funds_v3
LU1317704135;Carmignac Portfolio Long-Short European Equities E EUR Acc;funds_v3
LU1321847805;BlackRock Strategic Funds - Emerging Markets Equity Strategies Fund E2 EUR;funds_v3
LU1330191542;Magallanes Value Investors UCITS European Equity R EUR;funds_v3
LU1333148903;Azvalor Lux SICAV Azvalor International R;funds_v3
LU1340702932;MFS Meridian Funds - Global Opportunistic Bond Fund A1 EUR;funds_v3
LU1353951376;AXA World Funds - Global Inflation Short Duration Bonds E Capitalisation EUR (Hedged);funds_v3
LU1362999481;Robeco High Yield Bonds D €;funds_v3
LU1372006947;Cobas LUX SICAV - Cobas Selection Fund Class P Acc EUR;funds_v3
LU1373035234;BlackRock Strategic Funds - BSF Systematic Style Factor Fund E2 EUR Hedged;funds_v3
LU1378878430;Morgan Stanley Investment Funds - Asia Opportunity Fund A;funds_v3
LU1383852487;Allianz Global Investors Fund - Allianz Floating Rate Notes Plus VarioZins AT2 EUR;funds_v3
LU1391767586;Fidelity Funds - Global Financial Services Fund A-Acc-EUR;funds_v3
LU1442549025;MFS Meridian Funds - Prudent Capital Fund A1 EUR;funds_v3
LU1481179858;Capital Group New World Fund (LUX) B (EUR);funds_v3
LU1481583711;Flossbach von Storch - Bond Opportunities RT;funds_v3
LU1486845537;ODDO BHF Euro Credit Short Duration CR-EUR;funds_v3
LU1499628912;Amundi S.F. - Diversified Short-Term Bond Select E EUR ND;funds_v3
LU1529955046;Eurizon Fund - Bond Aggregate RMB Class R EUR Acc;funds_v3
LU1542714578;Goldman Sachs Europe Sustainable Equity - X Cap EUR;funds_v3
LU1548496022;Allianz Global Investors Fund - Allianz Dynamic Multi Asset Strategy SRI 15 AT EUR;funds_v3
LU1548497699;Allianz Global Investors Fund - Allianz Global Artificial Intelligence AT EUR;funds_v3
LU1578889864;Ninety One Global Strategy Fund - Global Gold Fund A Acc EUR Hedged(Reference);funds_v3
LU1582984149;M&G (Lux) European Inflation Linked Corporate Bond Fund EUR A Acc;funds_v3
LU1582988306;M&G (Lux) Dynamic Allocation Fund EUR B Acc;funds_v3
LU1594335520;Allianz Global Investors Fund - Allianz Dynamic Multi Asset Strategy SRI 75 AT EUR;funds_v3
LU1623762843;Carmignac Pf Credit A EUR Acc;funds_v3
LU1665237704;M&G (Lux) Global Listed Infrastructure Fund EUR A Acc;funds_v3
LU1670618187;M&G (Lux) Asian Fund EUR A Acc;funds_v3
LU1670618690;M&G (Lux) Global Emerging Markets Fund EUR A Acc;funds_v3
LU1670626446;M&G (Lux) Japan Fund EUR A Acc;funds_v3
LU1670631016;M&G (Lux) Emerging Markets Bond Fund EUR A Acc;funds_v3
LU1670631289;M&G (Lux) Emerging Markets Bond Fund EUR A-H Acc;funds_v3
LU1670707527;M&G (Lux) European Strategic Value Fund EUR A Acc;funds_v3
LU1670708764;M&G (Lux) Global Convertibles Fund EUR B Acc;funds_v3
LU1670710075;M&G (Lux) Global Dividend Fund EUR A Acc;funds_v3
LU1670715975;M&G (Lux) Japan Smaller Companies Fund EUR A Acc;funds_v3
LU1670718219;M&G (Lux) Short Dated Corporate Bond Fund EUR A Acc;funds_v3
LU1670722161;M&G (Lux) Global Floating Rate High Yield Fund EUR A-H Acc;funds_v3
LU1670724373;M&G (Lux) Optimal Income Fund EUR A Acc;funds_v3
LU1679113404;UBS (Lux) Bond SICAV - Floating Rate Income (USD) (EUR hedged) P-acc;funds_v3
LU1694212348;Nordea 1 - Low Duration European Covered Bond Fund BP EUR;funds_v3
LU1694789451;DNCA Invest Alpha Bonds A EUR;funds_v3
LU1697013008;SIH FCP - Flexible Fixed Income USD;funds_v3
LU1697016019;Sigma Investment House FCP - Selection AggressiveClass A EUR;funds_v3
LU1697016365;Sigma Investment House FCP - Selection Defensive Class A EUR;funds_v3
LU1697016878;Sigma Investment House FCP - Selection Conservative Class A EUR;funds_v3
LU1697017256;Sigma Investment House FCP - Selection Moderate Class A EUR;funds_v3
LU1697017686;Sigma Investment House FCP - Selection Dynamic Class A EUR;funds_v3
LU1697018064;Sigma Investment House FCP - Best Morgan Stanley Class A EUR;funds_v3
LU1697018494;Sigma Investment House FCP - Best JP Morgan Class A EUR;funds_v3
LU1706854152;Amundi S.F. - Diversified Short-Term Bond Select A EUR ND;funds_v3
LU1717592262;Groupama Global Inflation Short Duration NC;funds_v3
LU1738492658;Aviva Investors - Short Duration Global High Yield Bond Fund Ah EUR Acc;funds_v3
LU1740985814;DWS Strategic Allocation Dynamic LD;funds_v3
LU1762221155;Invesco Funds - Invesco Global Founders & Owners Fund E Accumulation EUR;funds_v3
LU1769941003;DWS Invest CROCI World Value LC;funds_v3
LU1775950477;Invesco Funds - Invesco Asian Equity Fund E Accumulation EUR;funds_v3
LU1814994353;Azvalor Lux SICAV Altum Faith - Consistent Equity R;funds_v3
LU1819480192;Echiquier Artificial Intelligence B EUR;funds_v3
LU1829329819;CT (Lux) - Pan European Smaller Companies 1E (EUR Accumulation Shares);funds_v3
LU1832969650;Morgan Stanley Investment Funds - Euro Corporate Bond - Duration Hedged Fund A;funds_v3
LU1838941372;Candriam Bonds Floating Rate Notes C EUR Cap;funds_v3
LU1868537090;DWS Invest ESG Dynamic Opportunities LC;funds_v3
LU1873127366;JPMorgan Liquidity Funds - EUR Liquidity LVNAV Fund A (acc.);funds_v3
LU1882457143;Amundi Funds - Emerging Markets Corporate High Yield Bond A EUR (C);funds_v3
LU1882457739;Amundi Funds - Emerging Markets Corporate High Yield Bond C EUR (C);funds_v3
LU1882462655;Amundi Funds - Emerging Markets Short Term Bond A2 EUR (C);funds_v3
LU1882462739;Amundi Funds - Emerging Markets Short Term Bond A2 EUR Hgd (C);funds_v3
LU1882475392;Amundi Funds - Euro Multi-Asset Target Income A2 EUR (C);funds_v3
LU1883318740;Amundi Funds - Global Equity Responsible A EUR (C);funds_v3
LU1883319474;Amundi Funds - Global Equity Responsible C EUR (C);funds_v3
LU1883327816;Amundi Funds - Global Multi-Asset A EUR (C);funds_v3
LU1883329432;Amundi Funds - Global Multi-Asset Conservative A EUR (C);funds_v3
LU1883330521;Amundi Funds - Global Multi-Asset Target Income A2 EUR (C);funds_v3
LU1883334275;Amundi Funds - Global Subordinated Bond A EUR (C);funds_v3
LU1883340322;Amundi Funds - Pioneer Flexible Opportunities A EUR (C);funds_v3
LU1883342377;Amundi Funds - Global Equity A EUR (C);funds_v3
LU1883342880;Amundi Funds - Global Equity C EUR (C);funds_v3
LU1894680757;Amundi Funds - Income Opportunities A2 EUR (C);funds_v3
LU1897556517;Groupama Global Disruption NC;funds_v3
LU1899018870;Sigma Investment House FCP - Best M&G Class A EUR Accumulation;funds_v3
LU1899018953;Sigma Investment House FCP - Best Blackrock Class A EUR Accumulation;funds_v3
LU1899019175;Sigma Investment House FCP - Smart Horizon Class A EUR Accumulation;funds_v3
LU1902444584;CPR Invest - Climate Bonds Euro - A EUR - Acc;funds_v3
LU1915690918;Nordea 1 - Active Rates Opportunities Fund Fund E EUR;funds_v3
LU1917163617;BlackRock Global Funds - FinTech Fund E2;funds_v3
LU1919971074;abrdn SICAV I - Frontier Markets Bond Fund A Acc Hedged EUR;funds_v3
LU1931535931;Allianz Pet and Animal Wellbeing AT EUR;funds_v3
LU1939214695;Nordea 1 - Global Diversity Engagement Fund BP EUR;funds_v3
LU1951204046;Natixis International Funds (Lux) I - Thematics Meta Fund R/A (EUR);funds_v3
LU1951921383;Allianz Global Investors Fund - Allianz Credit Opportunities AT EUR;funds_v3
LU1961009468;DWS Strategic Allocation Balance NC;funds_v3
LU1965927921;DWS Invest ESG Floating Rate Notes LC;funds_v3
LU1966822956;Cartesio Funds Income R;funds_v3
LU1982200609;DWS Invest Corporate Green Bonds LC;funds_v3
LU1983299162;Schroder International Selection Fund Global Alternative Energy A Accumulation;funds_v3
LU2002383896;Allianz Global Investors Fund - Allianz Credit Opportunities Plus AT EUR;funds_v3
LU2016064201;Schroder International Selection Fund Global Alternative Energy A Accumulation EUR Hedged;funds_v3
LU2050411763;BlackRock Global Funds - Emerging Markets Equity Income Fund A2 (EUR);funds_v3
LU2050544563;DWS ESG Multi Asset Dynamic LC;funds_v3
LU2050860480;Fidelity Funds - UK Special Situations Fund A-ACC-EUR;funds_v3
LU2050929277;Capital Group New Economy Fund (LUX) B (EUR);funds_v3
LU2092176515;BlueBox Funds - BlueBox Global Technology Fund Class C EUR Acc;funds_v3
LU2094235707;Goldman Sachs Global Future Technology Leaders Equity Portfolio Class E Shares EUR Acc;funds_v3
LU2098772366;Candriam Bonds Credit Alpha C EUR;funds_v3
LU2131365186;UBS (Lux) Equity Fund - China Opportunity (USD) P EUR acc;funds_v3
LU2133220793;Robeco Sustainable Asian Stars Equities DL EUR;funds_v3
LU2145461757;Robeco Smart Energy D-EUR Capitalisation;funds_v3
LU2145463373;Robeco Smart Energy M2-EUR Capitalisation;funds_v3
LU2146190835;Robeco Sustainable Water D-EUR Capitalisation;funds_v3
LU2210151341;Fidelity Funds - Absolute Return Global Equity Fund A-PF-Acc-Euro (Euro/USD hedged);funds_v3
LU2222028099;Merchbanc FCP Renta Fija Flex A;funds_v3
LU2240056015;Lonvia Mid-Cap Europe Retail;funds_v3
LU2240056445;Lonvia Mid-Cap Euro Retail;funds_v3
LU2267099674;BlackRock Global Funds - China Bond Fund Class A2 USD (EUR);funds_v3
LU2278574558;Buy & Hold Luxembourg B&H Equity Class 2;funds_v3
LU2278574715;Buy & Hold Luxembourg B&H Flexible Class 2;funds_v3
LU2278574988;Buy & Hold Luxembourg B&H Bond Class 2;funds_v3
LU2295319300;Morgan Stanley Investment Funds - Global Brands Fund A (EUR);funds_v3
LU2295320068;Morgan Stanley Investment Funds - Global Insight Fund A (EUR);funds_v3
LU2337806421;Morgan Stanley Investment Funds - Global Endurance Fund A EUR Acc;funds_v3
LU2338974699;Natixis International Funds (Lux) I - WCM Select Global Growth Equity Fund F/A (EUR);funds_v3
LU2348336004;FF - Climate Solutions Fund E-ACC-EUR;funds_v3
LU2357235493;Incometric Fund Nartex Equity Fund A Cap EUR Accumulation;funds_v3
LU2357235576;Incometric Fund Nartex Equity Fund R Cap EUR Accumulation;funds_v3
LU2375689580;Sigma Investment House FCP - Global Equity A EUR Income;funds_v3
LU2376061086;FF - Climate Solutions Fund A-Acc-EUR;funds_v3
LU2482630162;European Specialist Investment Funds - M&G European Credit Investment Fund Class P EUR Acc;funds_v3
LU2504555777;Fidelity Funds - Global Industrials Fund A-Acc-EUR;funds_v3
LU2601038578;Invesco Funds - Invesco Global Founders & Owners Fund A Accumulation EUR;funds_v3
LU2697545163;BlackRock Global Funds - Euro High Yield Fixed Maturity Bond Fund 2027 Class A2;funds_v3
LU2697545247;BGF Euro Investment Grade Fixed Maturity Bond Fund 2028 A2;funds_v3
LU2743151057;Natixis International Funds (Lux) I - Ossiam Shiller Barclays CAPE® US Fund R/A (EUR);funds_v3
LU2784406998;Morgan Stanley Investment Funds - Emerging Markets Debt Opportunities Fund A;funds_v3
LU3038481936;Hamco SICAV - Global Value R EUR Acc;funds_v3
