nombre;isin ;retrocesion
INVESTISSEMENT E ACC EUR   ;FR0010312660;1,35%
Janus Henderson Horizon Euroland Fund A2 EUR;LU0011889846;0,75%
JPM EMERGING MARKETS EQUITY D ACC EUR;LU0117843481;1,44%
JPM EUR EQ PLUS FD D P AC EUR;LU0289214628;1,62%
JPM EURO MONEY MARKET D ACC EUR;LU0252500524;0,32%
JPM EUROLAND EQUITY D ACC EUR;LU0117858596;1,44%
JPM GLOBAL DIVIDEND D ACC EURH;LU0714181541;1,44%
JPM GLOBAL FOCUS;LU0157179127;1,46%
JPM TAIWAN FUND D ACC USD;LU0117843721;1,63%
JPM US GROWTH A ACC USD;LU0210536198;0,83%
JPMorgan Funds - Europe Strategic Value Fund;LU0117858752;1,46%
JUPITER GLB EQUITY ABS RETURN ACC A EURH;LU0425100038;0,74%
Jupiter Gold & Silver Fund L EUR;E00BYVJR916;0,83%
JUPITER INDIA SELECT L ACC EUR;LU0365089902;0,86%
Jupiter Merian World Equity Fund L EUR Acc;IE00BYR8H148;0,00%
LAZARD CREDT OPPORT PC ACC EUR  ;FR0010235507;0,00%
LAZARD HIGH YIELD 2029-EC-EUR;FR001400NTN5;0,00%
LAZARD HIGH YIELD 2029-EC-EUR;FR001400KID6;0,00%
Lonvia Avenir Mid-Cap Euro Retail;LU2240056445;0,83%
Lonvia Avenir Mid-Cap Europe;LU2240056015;0,88%
Lonvia Avenir Small Cap Europe Retail ;LU2240057096;0,90%
LT SPCIAL SITUATIONS A1 AC EUR;E00B87MS887;0,95%
M&G DYNAMIC ALLOC FD A AC EUR;LU1582983133;1,03%
M&G European Credit Investment Fund;LU2482630162;0,20%
M&G Global Convertibles;LU1670708764;1,20%
M&G GLOBAL LISTED INFRASTRUCTURE FUND ACUMULACION;LU1665237704;1,05%
Magallanes European Equity;ES0159259011;0,00%
Man Global Investment Grade Opportunities;IE000MI53C66;0,75%
Man Hi Yld Opps D EUR Acc;IE00BDTYYP61;0,75%
MARCH PENSIONES 50-50 PP;N3242 (DGS);0,74%
Merchbanc FCP Renta Fija Flex A;LU2222028099;0,98%
Merchfondo ;ES0162332037;1,07%
Merch-Fontemar ;ES0138914033;1,22%
Merch-Oportunidades FI ;ES0162305033;0,97%
Merchrenta ;ES0162333035;0,72%
Merch-Universal FI;ES0182105033;1,22%
METAVALOR INTERNACIONAL CLSE I;ES0162368007;0,00%
MFS EUROPEAN RESEARCH A1 EUR;LU0094557526;0,90%
MFS EUROPEAN VALUE FUND A1 ACC EUR;LU0125951151;0,89%
MFS Meridian Prudent Capital A1 EUR;LU1442549025;1,00%
MFS PRUDENT WEALTH FUND A1 ACC EUR;LU0583242994;0,93%
M-G EUROPEAN STRATEGIC VALUE A ACC EUR;LU1670707527;0,84%
M-G GLOBAL DIVIDEND FUND A ACC EUR;LU1670710075;1,03%
M-G GLOBAL FLOATING RATE HY AH ACC EUR;LU1670722161.;0,56%
