isin,name,asset_type,asset_subtype,region_primary,risk_bucket,classification_confidence,exposure_confidence,warnings,audit_flags,is_suitable_low_risk,is_sector_fund,sector_focus,equity_style_box,market_cap_bias,fi_credit_bucket,fi_duration_bucket,legacy_asset_class,legacy_category,equity_exposure,bond_exposure,cash_exposure,other_exposure
LU1061675168,Goldman Sachs Frontier Markets Debt (Hard Currency) - X Cap EUR (hedged i),UNKNOWN,UNKNOWN,GLOBAL,MEDIUM,0.95,0.4,,UNKNOWN_ASSET_TYPE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,RF Global Emergente - Sesgo EUR,0.0,0.0,0.0,0.0
LU1079477284,Allianz Emerging Markets Short Duration Bond AT (H2-EUR),FIXED_INCOME,UNKNOWN,GLOBAL,MEDIUM,0.95,0.4,,UNKNOWN_SUBTYPE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,SHORT,RF,RF Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
LU1080015693,Edmond de Rothschild Fund - Emerging Credit A EUR Hedged,FIXED_INCOME,UNKNOWN,GLOBAL,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Deuda Corporativa Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
LU1089088741,Allianz Global Investors Fund - Allianz Floating Rate Notes Plus VarioZins AT EUR,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,True,False,UNKNOWN,UNKNOWN,UNKNOWN,HIGH_QUALITY,SHORT,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
LU1103307408,Goldman Sachs Absolute Return Tracker Portfolio Other Currency Acc EUR-Hedged,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,0.95,0.4,,UNKNOWN_ASSET_TYPE; MISSING_REGION_PRIMARY,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,Alt - Multistrategy,0.0,0.0,0.0,0.0
LU1161086159,Amundi Funds - Emerging Markets Blended Bond A EUR (C),FIXED_INCOME,UNKNOWN,GLOBAL,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
LU1161526576,Edmond de Rothschild Fund - Bond Allocation R EUR Acc,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FLEXIBLE,RF,RF Flexible EUR,0.0,100.0,0.0,0.0
LU1164219682,AXA World Funds - Euro Credit Total Return A Capitalisation EUR,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,True,False,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,MEDIUM,RF,RF Flexible EUR,0.0,100.0,0.0,0.0
LU1164220854,AXA World Funds - Euro Credit Total Return E Capitalisation EUR,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,True,False,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,MEDIUM,RF,RF Flexible EUR,0.0,100.0,0.0,0.0
LU1165644672,IVO Funds - IVO Emerging Markets Corporate Debt EUR R Acc,FIXED_INCOME,UNKNOWN,GLOBAL,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Deuda Corporativa Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
LU1191877379,BlackRock Global Funds - European High Yield Bond Fund A2,FIXED_INCOME,UNKNOWN,UNKNOWN,MEDIUM,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY,False,False,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,SHORT,RF,RF Bonos Alto Rendimiento EUR,0.0,100.0,0.0,0.0
