freeze_id,isin,name,target_collection,conflict_category,severity,recommended_action,exists_in_funds_v3,conflict_fields_count,conflict_fields,conflict_details,protected_present_fields_count,source_csv,freeze_decision
BDB-CSV-1,LU0345361124,Fidelity Funds - Asia Pacific Opportunities Fund A-Acc-EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,2,quality.last_repaired_at | quality.sectors_normalized_at,quality.last_repaired_at: CSV=2026-01-15 22:02:57.395000+00:00 :: FIRESTORE=2026-01-15T22:02:57.395000+00:00 || quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0348529792,Fidelity Active Strategy - FAST - Europe Fund E-ACC-EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0348784041,Allianz Global Investors Fund - Allianz Oriental Income AT EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0348926287,Nordea 1 - Global Climate and Environment Fund BP EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0348927251,Nordea 1 - Global Climate and Environment Fund E EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0353649352,Fidelity Funds - Global Inflation-linked Bond Fund E-Acc-EUR (hedged),funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,2,quality.last_repaired_at | quality.sectors_normalized_at,quality.last_repaired_at: CSV=2026-01-15 21:56:40.636000+00:00 :: FIRESTORE=2026-01-15T21:56:40.636000+00:00 || quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0360646680,BNP Paribas Funds Euro Defensive Equity Classic Capitalisation,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0365775922,Schroder International Selection Fund Greater China A Accumulation EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0384381660,Morgan Stanley Investment Funds - QuantActive Global Infrastructure Fund A,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0387754996,Robeco Global Stars Equities D EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0391944815,Pictet-Global Megatrend Selection R EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,2,quality.last_repaired_at | quality.sectors_normalized_at,quality.last_repaired_at: CSV=2026-01-15 22:02:57.421000+00:00 :: FIRESTORE=2026-01-15T22:02:57.421000+00:00 || quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0404220724,JPMorgan Investment Funds - Global Income Fund D (div) - EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.last_repaired_at,quality.last_repaired_at: CSV=2026-01-15 22:02:57.421000+00:00 :: FIRESTORE=2026-01-15T22:02:57.421000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0413376566,BlackRock Global Funds - Emerging Markets Bond Fund A2 Hedged,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0413543058,Fidelity Funds - Japan Value Fund A-Acc-EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0415391431,Bellevue Funds (Lux) - Bellevue Medtech & Services B EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0430492750,JPMorgan Funds - Euro Aggregate Bond Fund C (acc) - EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0438336694,BlackRock ESG Fixed Income Strategies Fund E2 EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.last_repaired_at,quality.last_repaired_at: CSV=2026-01-15 22:02:57.421000+00:00 :: FIRESTORE=2026-01-15T22:02:57.421000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0455556406,UBS (Lux) Bond SICAV - Global Inflation-linked (USD) (EUR hedged) P-acc,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,2,quality.last_repaired_at | quality.sectors_normalized_at,quality.last_repaired_at: CSV=2026-01-15 22:02:57.421000+00:00 :: FIRESTORE=2026-01-15T22:02:57.421000+00:00 || quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0496368142,Franklin Gold & Precious Metals Fund A(acc)EUR-H1,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,2,quality.last_repaired_at | quality.sectors_normalized_at,quality.last_repaired_at: CSV=2026-01-15 22:02:57.421000+00:00 :: FIRESTORE=2026-01-15T22:02:57.421000+00:00 || quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0503631714,Pictet - Global Environmental Opportunities P EUR,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0524465548,Alken Fund - Small Cap Europe Class A,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.165000+00:00 :: FIRESTORE=2026-01-25T07:45:06.165000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0552029406,Amundi Funds - Latin America Equity A EUR (C),funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.169000+00:00 :: FIRESTORE=2026-01-25T07:45:06.169000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0552029661,Amundi Funds - Latin America Equity G EUR (C),funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.169000+00:00 :: FIRESTORE=2026-01-25T07:45:06.169000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0552385295,Morgan Stanley Investment Funds - Global Opportunity Fund A,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,1,quality.sectors_normalized_at,quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.169000+00:00 :: FIRESTORE=2026-01-25T07:45:06.169000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
BDB-CSV-1,LU0554840230,Robeco Global Consumer Trends Equities M €,funds_v3,TIMESTAMP_METADATA_ONLY,LOW_METADATA,FREEZE_NO_WRITE,True,2,quality.last_repaired_at | quality.sectors_normalized_at,quality.last_repaired_at: CSV=2026-01-15 22:02:57.421000+00:00 :: FIRESTORE=2026-01-15T22:02:57.421000+00:00 || quality.sectors_normalized_at: CSV=2026-01-25 07:45:06.169000+00:00 :: FIRESTORE=2026-01-25T07:45:06.169000+00:00,80,data/work/fondos_absolutamente_todos_los_campos.csv,Frozen as review-only conflict. Do not include in automatic update package.
