audit_id,generated_at_utc,isin,doc_id,name,field_path,current_asset_mix,proposed_asset_mix,current_sum,proposed_sum,fix_rule,confidence,source_confidence,write_allowed,validation_ok,precondition_current_sum_0_95_1_05,precondition_proposed_sum_95_105,classification_asset_type,classification_asset_subtype,derived_asset_class
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1340702932,LU1340702932,MFS Meridian Funds - Global Opportunistic Bond Fund A1 EUR,portfolio_exposure_v2.asset_mix,"{""bond"": 0.7456, ""cash"": 0.2534, ""equity"": 0.0, ""other"": 0.001}","{""bond"": 74.56, ""cash"": 25.34, ""equity"": 0.0, ""other"": 0.1}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,fixed_income,CORPORATE_BOND,RF
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1362999481,LU1362999481,Robeco High Yield Bonds D €,portfolio_exposure_v2.asset_mix,"{""bond"": 0.9887, ""cash"": 0.0065, ""equity"": 0.0006, ""other"": 0.0043}","{""bond"": 98.87, ""cash"": 0.65, ""equity"": 0.06, ""other"": 0.43}",1.0001,100.01,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,fixed_income,HIGH_YIELD_BOND,RF
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1372006947,LU1372006947,Cobas LUX SICAV - Cobas Selection Fund Class P Acc EUR,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0121, ""cash"": 0.0185, ""equity"": 0.9693, ""other"": 0.0}","{""bond"": 1.21, ""cash"": 1.85, ""equity"": 96.93, ""other"": 0.0}",0.9999,99.99,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,GLOBAL_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1378878430,LU1378878430,Morgan Stanley Investment Funds - Asia Opportunity Fund A,portfolio_exposure_v2.asset_mix,"{""bond"": 0.008735, ""cash"": 0.02012, ""equity"": 0.971145, ""other"": 0.0}","{""bond"": 0.8735, ""cash"": 2.012, ""equity"": 97.1145, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1391767586,LU1391767586,Fidelity Funds - Global Financial Services Fund A-Acc-EUR,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0016, ""cash"": 0.0045, ""equity"": 0.9827, ""other"": 0.0112}","{""bond"": 0.16, ""cash"": 0.45, ""equity"": 98.27, ""other"": 1.12}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,SECTOR_EQUITY_FINANCIALS,RV
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1442549025,LU1442549025,MFS Meridian Funds - Prudent Capital Fund A1 EUR,portfolio_exposure_v2.asset_mix,"{""bond"": 0.2872, ""cash"": 0.099, ""equity"": 0.5717, ""other"": 0.0421}","{""bond"": 28.72, ""cash"": 9.9, ""equity"": 57.17, ""other"": 4.21}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,allocation,FLEXIBLE_ALLOCATION,Mixto
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1481583711,LU1481583711,Flossbach von Storch - Bond Opportunities RT,portfolio_exposure_v2.asset_mix,"{""bond"": 0.9419, ""cash"": 0.041, ""equity"": 0.0034, ""other"": 0.0137}","{""bond"": 94.19, ""cash"": 4.1, ""equity"": 0.34, ""other"": 1.37}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,fixed_income,CORPORATE_BOND,RF
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1486845537,LU1486845537,ODDO BHF Euro Credit Short Duration CR-EUR,portfolio_exposure_v2.asset_mix,"{""bond"": 0.9224, ""cash"": 0.0776, ""equity"": 0.0, ""other"": 0.0}","{""bond"": 92.24, ""cash"": 7.76, ""equity"": 0.0, ""other"": 0.0}",1.0,100.0,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,fixed_income,HIGH_YIELD_BOND,RF
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1529955046,LU1529955046,Eurizon Fund - Bond Aggregate RMB Class R EUR Acc,portfolio_exposure_v2.asset_mix,"{""bond"": 1.0, ""cash"": 0.0, ""equity"": 0.0019, ""other"": 0.0}","{""bond"": 100.0, ""cash"": 0.0, ""equity"": 0.19, ""other"": 0.0}",1.0019,100.19,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,fixed_income,CORPORATE_BOND,RF
BDB-SEM-2,2026-05-07T04:41:43.686095+00:00,LU1542714578,LU1542714578,Goldman Sachs Europe Sustainable Equity - X Cap EUR,portfolio_exposure_v2.asset_mix,"{""bond"": 0.0, ""cash"": 0.0071, ""equity"": 0.9675, ""other"": 0.0255}","{""bond"": 0.0, ""cash"": 0.71, ""equity"": 96.75, ""other"": 2.55}",1.0001,100.01,MULTIPLY_BY_100,HIGH,HIGH_CONFIDENCE_SCALE_FIX,False,True,True,True,equity,THEMATIC_EQUITY,RV
