isin;name;current_retrocession;new_retrocession;delta;action;status;review_required;reason;source;as_of_date;notes
LU0170473374;Franklin European Total Return Fund A(acc)EUR;0;0.41;0.41;UPDATE_DRY_RUN;UPDATE_CONFIRMED;false;deterministic value change;bank;2026-05-08;
LU0171275786;BlackRock Global Funds - Emerging Markets Fund A2 (EUR);0.9;0.9;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0171296949;BlackRock Global Funds - US Flexible Equity Fund E2 (EUR);1.14;1.14;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0175323400;;;0.98;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU0181496216;Schroder International Selection Fund Emerging Asia A1 Accumulation USD;0;0.72;0.72;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.7200 >= 0.5;bank;2026-05-08;
LU0181962126;First Eagle Amundi International Fund Class FU-C Shares;1.5;1.5;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0187079347;Robeco Global Consumer Trends D EUR;0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0202403266;Fidelity Active Strategy - FAST - Europe Fund A-ACC-EUR;0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0203975437;Robeco BP Global Premium Equities D EUR;0.6;0.6;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0210536198;JPMorgan Funds - US Growth Fund A (acc) - USD;0.83;0.83;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0217139020;Pictet-Premium Brands P EUR;0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0224105477;BlackRock Global Funds - Continental European Flexible Fund Class A2;0;0.84;0.84;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.8400 >= 0.5;bank;2026-05-08;
LU0224105980;BlackRock Global Funds - Continental European Flexible Fund E2;1.14;1.14;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0231205856;Franklin India Fund N(acc)EUR;0.0158;1.58;1.5642;REVIEW;LARGE_CHANGE_REVIEW;true;"absolute delta 1.5642 >= 0.5; relative change 9900.00% >= 50%";bank;2026-05-08;
LU0231490524;abrdn SICAV I - Indian Equity Fund A Acc USD;1.01;1.01;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0232465384;;;0.93;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU0232524495;AB - American Growth Portfolio A EUR Acc;0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0235308482;Alken Fund - European Opportunities Class R;0.5;0;-0.5;REVIEW;LARGE_CHANGE_REVIEW;true;"absolute delta 0.5000 >= 0.5; relative change 100.00% >= 50%";bank;2026-05-08;
LU0236738190;Schroder International Selection Fund Japanese Equity B Accumulation EUR Hedged;1.21;1.21;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0243957239;Invesco Funds - Invesco Pan European High Income Fund A Accumulation EUR;0.62;0.62;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0243957742;Invesco Funds - Invesco Pan European High Income Fund E Accumulation EUR;1.07;1.07;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0248168428;Schroder International Selection Fund Global Equity Alpha A Accumulation EUR;0.73;0.73;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0248172537;Schroder International Selection Fund Emerging Asia A Accumulation EUR;0.7;0.7;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0248181363;Schroder International Selection Fund Latin American A Accumulation EUR;0.7;0.7;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0252500524;JPMorgan Funds - EUR Money Market VNAV Fund D (acc) - EUR;0.32;0.32;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0254836850;Robeco Capital Growth Funds - Robeco Emerging Stars Equities D EUR;0.74;0.74;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0256839860;Allianz Global Investors Fund - Allianz Europe Equity Growth CT EUR;0;1.44;1.44;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 1.4400 >= 0.5;bank;2026-05-08;
